"","Conf.true_lab","Conf.pred_lab","Conf.Freq","MedF1","F1","Acc","PercUnl","PopSize"
"139","gamma","mast",0,0.981818181818182,0.982456140350877,0.98621817332399,0,255
"140","macrophage","mast",0,0.981818181818182,0.990825688073394,0.98621817332399,0,55
"141","mast","mast",25,0.981818181818182,0.980392156862745,0.98621817332399,0,25
"142","quiescent_stellate","mast",0,0.981818181818182,0.93491124260355,0.98621817332399,0,173
"143","schwann","mast",0,0.981818181818182,0.96,0.98621817332399,0,13
"144","acinar","quiescent_stellate",1,0.981818181818182,0.987951807228916,0.98621817332399,0,958
"145","activated_stellate","quiescent_stellate",5,0.981818181818182,0.971731448763251,0.98621817332399,0,284
"146","alpha","quiescent_stellate",0,0.981818181818182,0.993778159193306,0.98621817332399,0,2326
"147","beta","quiescent_stellate",0,0.981818181818182,0.988741852656528,0.98621817332399,0,2525
"148","delta","quiescent_stellate",0,0.981818181818182,0.972659486329743,0.98621817332399,0,601
"149","ductal","quiescent_stellate",0,0.981818181818182,0.986072423398329,0.98621817332399,0,1077
"150","endothelial","quiescent_stellate",1,0.981818181818182,0.981818181818182,0.98621817332399,0,252
"151","epsilon","quiescent_stellate",0,0.981818181818182,0.848484848484849,0.98621817332399,0,18
"152","gamma","quiescent_stellate",0,0.981818181818182,0.982456140350877,0.98621817332399,0,255
"153","macrophage","quiescent_stellate",0,0.981818181818182,0.990825688073394,0.98621817332399,0,55
"154","mast","quiescent_stellate",0,0.981818181818182,0.980392156862745,0.98621817332399,0,25
"155","quiescent_stellate","quiescent_stellate",158,0.981818181818182,0.93491124260355,0.98621817332399,0,173
"156","schwann","quiescent_stellate",0,0.981818181818182,0.96,0.98621817332399,0,13
"157","acinar","schwann",0,0.981818181818182,0.987951807228916,0.98621817332399,0,958
"158","activated_stellate","schwann",0,0.981818181818182,0.971731448763251,0.98621817332399,0,284
"159","alpha","schwann",0,0.981818181818182,0.993778159193306,0.98621817332399,0,2326
"160","beta","schwann",0,0.981818181818182,0.988741852656528,0.98621817332399,0,2525
"161","delta","schwann",0,0.981818181818182,0.972659486329743,0.98621817332399,0,601
"162","ductal","schwann",0,0.981818181818182,0.986072423398329,0.98621817332399,0,1077
"163","endothelial","schwann",0,0.981818181818182,0.981818181818182,0.98621817332399,0,252
"164","epsilon","schwann",0,0.981818181818182,0.848484848484849,0.98621817332399,0,18
"165","gamma","schwann",0,0.981818181818182,0.982456140350877,0.98621817332399,0,255
"166","macrophage","schwann",0,0.981818181818182,0.990825688073394,0.98621817332399,0,55
"167","mast","schwann",0,0.981818181818182,0.980392156862745,0.98621817332399,0,25
"168","quiescent_stellate","schwann",0,0.981818181818182,0.93491124260355,0.98621817332399,0,173
"169","schwann","schwann",12,0.981818181818182,0.96,0.98621817332399,0,13
